name,pos,team
Josh Williams,RB,TB
Julius Chestnut,RB,TEN
Justice Hill,RB,BAL
Kadarius Calloway,RB,TB
Kaelon Black,RB,SF
Kaleb Johnson,RB,PIT
Kalel Mullings,RB,TEN
Kaytron Allen,RB,WAS
Keaton Mitchell,RB,LAC
Kejon Owens,RB,MIN
Kendall Milton,RB,CIN
Kendre Miller,RB,NO
Kene Nwangwu,RB,NYJ
Kenneth Gainwell,RB,TB
Kenneth Walker III,RB,KC
Kenny McIntosh,RB,SEA
Kentrel Bullock,RB,CIN
Kimani Vidal,RB,LAC
Kye Robichaux,RB,DET
Kyle Juszczyk,RB,SF
Kyle Monangai,RB,CHI
Kyren Williams,RB,LA
Lan Larison,RB,NE
Le'Veon Moss,RB,MIA
LeQuint Allen Jr.,RB,JAX
Lew Nichols III,RB,PIT
Lincoln Pare,RB,IND
Lucas Scott,RB,BAL
Malik Davis,RB,DAL
MarShawn Lloyd,RB,GB
Max Bredeson,RB,MIN
Max Hurleman,RB,PIT
Michael Burton,RB,CLE
Michael Carter,RB,TEN
Mike Washington,RB,LV
Miles Davis,RB,CAR
Myles Montgomery,RB,NE
Nate Carter,RB,ATL
Nicholas Singleton,RB,TEN
Noah Whittington,RB,HOU
Ollie Gordon II,RB,MIA
Omarion Hampton,RB,LAC
Patrick Ricard,RB,NYG
Patrick Taylor,RB,SF
Phil Mafah,RB,DAL
Pierre Strong,RB,GB
Quinshon Judkins,RB,CLE
RJ Harvey,RB,DEN
Rachaad White,RB,WAS
Raheim Sanders,RB,CLE
Rasheen Ali,RB,BAL
Ray Davis,RB,BUF
Reggie Gilliam,RB,NE
Rhamondre Stevenson,RB,NE
Rico Dowdle,RB,PIT
Robbie Ouzts,RB,SEA
Robert Henry,RB,WAS
Roman Hemby,RB,LV
Ronnie Rivers,RB,LA
Roschon Johnson,RB,CHI
Salvon Ahmed,RB,CHI
Sam Scott,RB,NYJ
Samaje Perine,RB,CIN
Saquon Barkley,RB,PHI
Scott Matlock,RB,LAC
Sean Tucker,RB,TB
Seth McGowan,RB,IND
Sincere McCormick,RB,SF
Sione Vaki,RB,DET
T.J. Harden,RB,CLE
Tahj Brooks,RB,CIN
Tank Bigsby,RB,PHI
Terrell Jennings,RB,NE
Tony Pollard,RB,TEN
Travis Etienne,RB,NO
Travis Homer,RB,PIT
TreVeyon Henderson,RB,NE
Trevor Etienne,RB,CAR
Trey Benson,RB,ARI
Ty Chandler,RB,NO
Ty Johnson,RB,BUF
Tyjae Spears,RB,TEN
Tyler Allgeier,RB,ARI
Tyler Badie,RB,DEN
Tyler Goodson,RB,ATL
Tyrone Tracy Jr.,RB,NYG
Ulysses Bentley IV,RB,IND
Velus Jones Jr.,RB,SEA
Will Shipley,RB,PHI
Woody Marks,RB,HOU
Zach Charbonnet,RB,SEA
Zavier Scott,RB,MIN
AJ Barner,TE,SEA
Adam Trautman,TE,DEN
Albert Okwuegbunam,TE,LV
Andrew Ogletree,TE,IND
Anthony Firkser,TE,WAS
Austin Hooper,TE,ATL
Bauer Sharp,TE,TB
Ben Sims,TE,MIA
Ben Sinnott,TE,WAS
Ben Yurosek,TE,MIN
Blake Whiteheart,TE,CLE
Brayden Willis,TE,SF
Brenden Bates,TE,CLE
Brenton Strange,TE,JAX
Brevin Jordan,TE,HOU
Brevyn Spann-Ford,TE,DAL
Brock Bowers,TE,LV
Brock Wright,TE,DET
Bryce Pierre,TE,CAR
Bryson Nesbit,TE,MIN
CJ Dippre,TE,NE
Cade Otton,TE,TB
Cade Stover,TE,HOU
Caleb Lohner,TE,DEN
Cam Grandy,TE,CIN
Cameron Latu,TE,PHI
Carsen Ryan,TE,CLE
Carson Towt,TE,IND
Carter Runyon,TE,LV
Charlie Kolar,TE,LAC
Charlie Woerner,TE,ATL
Chase Curtis,TE,NYJ
Chig Okonkwo,TE,WAS
Chris Manhertz,TE,NYG
Cody Hardy,TE,NO
Colby Parkinson,TE,LA
Cole Kmet,TE,CHI
Cole Turner,TE,MIA
Colson Yankoff,TE,WAS
Colston Loveland,TE,CHI
Connor Heyward,TE,LV
D.J. Rogers,TE,DAL
Dae'Quan Wright,TE,PHI
Dallas Goedert,TE,PHI
Dallen Bentley,TE,DEN
Dalton Kincaid,TE,BUF
Dalton Schultz,TE,HOU
Dan Villari,TE,LA
Daniel Bellinger,TE,TEN
Darnell Washington,TE,PIT
David Martin-Robinson,TE,TEN
David Njoku,TE,LAC
Davis Allen,TE,LA
Dawson Knox,TE,BUF
Devin Culp,TE,TB
Drake Dabney,TE,GB
Drew Sample,TE,CIN
Durham Smythe,TE,BAL
E.J. Jenkins,TE,PHI
Eli Raridon,TE,NE
Eli Stowers,TE,PHI
Elijah Arroyo,TE,SEA
Elijah Higgins,TE,ARI
Eric Saubert,TE,SEA
Erick All,TE,CIN
Ethan Conner,TE,JAX
Evan Engram,TE,DEN
Evan Svoboda,TE,LAC
Feleipe Franks,TE,CAR
Foster Moreau,TE,HOU
Gavin Bartholomew,TE,MIN
George Kittle,TE,SF
Grant Calcaterra,TE,PHI
Greg Dulcich,TE,MIA
Gunnar Helm,TE,TEN
Harold Fannin Jr.,TE,CLE
Harrison Bryant,TE,SEA
Hayden Large,TE,CHI
Hayden Rucci,TE,SF
Hunter Henry,TE,NE
Hunter Long,TE,JAX
Ian Thomas,TE,LV
Isaiah Likely,TE,NYG
JJ Galbreath,TE,PIT
Ja'Tavion Sanders,TE,CAR
Jack Endries,TE,CIN
Jack Stoll,TE,CLE
Jack Velling,TE,ATL
Jackson Hawes,TE,BUF
Jaheim Bell,TE,PIT
Jake Briningstool,TE,KC
Jake Ferguson,TE,DAL
Jake Tonges,TE,SF
James Mitchell,TE,CAR
Jameson Geers,TE,ARI
Jared Wiley,TE,KC
Jaren Kanak,TE,TEN
Jelani Woods,TE,NYJ
Jeremy Ruckert,TE,NYJ
Joe Royer,TE,CLE
Joel Wilson,TE,TEN
John Bates,TE,WAS
John Michael Gyllenborg,TE,KC
Johnny Mundt,TE,PHI
Johnny Pascuzzi,TE,LAC
Josh Cuevas,TE,BAL
Josh Kattus,TE,CIN
Josh Oliver,TE,MIN
Josh Whyle,TE,GB
Joshua Simon,TE,ATL
Julian Hill,TE,NE
Justin Joly,TE,DEN
Juwan Johnson,TE,NO
Keleki Latu,TE,BUF
Kenny Fletcher,TE,TB
Kenyon Sadiq,TE,NYJ
Khalil Dinkins,TE,SF
Ko Kieft,TE,TB
Kyle Pitts,TE,ATL
Kylen Granson,TE,TEN
Lake McRee,TE,PIT
Lance Mason,TE,SEA
Lawrence Cager,TE,WAS
Layne Pryor,TE,HOU
Louis Hansen,TE,HOU
Lucas Krull,TE,DEN
Luke Farrell,TE,SF
Luke Musgrave,TE,GB
Luke Schoonmaker,TE,DAL
Mark Andrews,TE,BAL
Mark Redman,TE,LA
Marlin Klein,TE,HOU
Mason Taylor,TE,NYJ
Matthew Hibner,TE,BAL
Max Klare,TE,LA
Messiah Swinson,TE,GB
Michael Mayer,TE,LV
Michael Trigg,TE,DAL
Mike Gesicki,TE,CIN
Miles Kitselman,TE,DET
Mitchell Evans,TE,CAR
Mo Alie-Cox,TE,IND
Moliki Matavao,TE,NO
Nate Adkins,TE,DEN
Nate Boerkircher,TE,JAX
Nick Kallerup,TE,SEA
Nikola Kalinic,TE,CHI
Noah Fant,TE,NO
Noah Gray,TE,KC
Oronde Gadsden II,TE,LAC
Oscar Delp,TE,NO
Pat Freiermuth,TE,PIT
Patrick Gurd,TE,LV
Patrick Herbert,TE,JAX
Payne Durham,TE,TB
Princeton Fant,TE,DAL
Qadir Ismail,TE,CHI
Quentin Moore,TE,WAS
Quintin Morris,TE,JAX
R.J. Maryland,TE,GB
Riley Nowakowski,TE,PIT
Rivaldo Fairweather,TE,ARI
Robert Tonyan,TE,PIT
Rohan Jones,TE,LA
Sam LaPorta,TE,DET
Sam Roush,TE,CHI
Sean McKeon,TE,IND
Seydou Traore,TE,MIA
Shane Zylstra,TE,BUF
Stephen Carlson,TE,CHI
Stone Smartt,TE,PHI
T.J. Hockenson,TE,MIN
Tanner Arkin,TE,NE
Tanner Conner,TE,NYG
Tanner Hudson,TE,CIN
Tanner Koziol,TE,JAX
Teagan Quitoriano,TE,ARI
Terrance Ferguson,TE,LA
Theo Johnson,TE,NYG
Thomas Fidone II,TE,NYG
Thomas Gordon,TE,DET
Tip Reiman,TE,ARI
Tommy Tremble,TE,CAR
Travis Kelce,TE,KC
Tre Watson,TE,KC
Trey McBride,TE,ARI
Treyton Welch,TE,NO
Tucker Kraft,TE,GB
Tyler Conklin,TE,DET
Tyler Higbee,TE,LA
Tyler Warren,TE,IND
Will Kacmarek,TE,MIA
Will Mallory,TE,IND
Zach Horton,TE,DET
Zaire Mitchell-Paden,TE,NO
A.J. Brown,WR,NE
A.J. Henning,WR,MIA
A.T. Perry,WR,PIT
Aaron Anderson,WR,CLE
Adam Thielen,WR,MIN
Adonai Mitchell,WR,NYJ
Ainias Smith,WR,CAR
Alec Pierce,WR,IND
Alex Bullock,WR,JAX
Amon-Ra St. Brown,WR,DET
Andrei Iosivas,WR,CIN
Andrew Armstrong,WR,KC
Anthony Gould,WR,IND
Anthony Smith,WR,DAL
Antonio Williams,WR,WAS
Arian Smith,WR,NYJ
Ashton Dulin,WR,IND
Austin Trammell,WR,JAX
Beaux Collins,WR,NYG
Ben Nikkel,WR,IND
Ben Patterson,WR,JAX
Ben Skowronek,WR,PIT
Brady Boyd,WR,JAX
Brandon Johnson,WR,LV
Brandon Smith,WR,PIT
Braxton Berrios,WR,NYG
Brenden Rice,WR,GB
Brenen Thompson,WR,LAC
Brennan Presley,WR,LA
Brian Thomas Jr.,WR,JAX
Britain Covey,WR,PHI
Brock Rechsteiner,WR,NO
Bryce Lance,WR,NO
Bryce Oliver,WR,TEN
Brycen Tremayne,WR,CAR
Bryson Green,WR,ARI
Bub Means,WR,NO
C.J. Daniels,WR,LA
C.J. Williams,WR,JAX
Caleb Douglas,WR,MIA
Calvin Austin III,WR,NYG
Calvin Ridley,WR,TEN
Cam Ross,WR,DEN
Camden Brown,WR,DAL
Cameron Dorner,WR,NE
Carnell Tate,WR,TEN
Casey Washington,WR,ATL
Caullin Lacy,WR,NYJ
Cedric Tillman,WR,CLE
Cedrick Wilson Jr.,WR,DET
CeeDee Lamb,WR,DAL
Chandler Brayboy,WR,JAX
Charlie Jones,WR,CIN
Chase Roberts,WR,LV
Chimere Dike,WR,TEN
Chris Bell,WR,MIA
Chris Blair,WR,ATL
Chris Brazzell,WR,CAR
Chris Godwin Jr.,WR,TB
Chris Hilton,WR,WAS
Chris Olave,WR,NO
Christian Kirk,WR,SF
Christian Watson,WR,GB
Cody White,WR,SEA
Colbie Young,WR,CIN
Cole Burgess,WR,PIT
Coleman Owen,WR,IND
Colton Dowell,WR,SF
Cooper Kupp,WR,SEA
Corey Rucker,WR,LV
Cornelius Johnson,WR,BAL
Cortez Braham,WR,BAL
Courtland Sutton,WR,DEN
Courtney Jackson,WR,TEN
Cyrus Allen,WR,KC
D.T. Sheffield,WR,NYJ
DJ Moore,WR,BUF
DK Metcalf,WR,PIT
Dalen Cambre,WR,NYG
Dalevon Campbell,WR,LAC
Damien Alford,WR,NO
Dan Chisena,WR,CAR
Dane Key,WR,DEN
Daniel Sobkowicz,WR,HOU
Danny Gray,WR,PHI
Dareke Young,WR,LV
Darius Cooper,WR,PHI
Darius Slayton,WR,NYG
Darnell Mooney,WR,NYG
Davante Adams,WR,LA
David Moore,WR,CAR
David Sills,WR,TB
Dayton Wade,WR,BAL
De'Zhaun Stribling,WR,SF
DeMario Douglas,WR,NE
DeVonta Smith,WR,PHI
Dean Patterson,WR,TB
Deion Burks,WR,IND
Demarcus Robinson,WR,SF
Dennis Houston,WR,TB
Denzel Boston,WR,CLE
Derius Davis,WR,LAC
Devaughn Vele,WR,NO
Devin Duvernay,WR,ARI
Devonte Ross,WR,LAC
Devontez Walker,WR,BAL
Dillon Bell,WR,MIN
Dohnte Meyers,WR,CIN
Dominic Lovett,WR,DET
Donaven McCulley,WR,MIA
Dont'e Thornton Jr.,WR,LV
Dontae Fleming,WR,MIN
Dontayvion Wicks,WR,PHI
Drake London,WR,ATL
Dyami Brown,WR,WAS
Dylan Drummond,WR,ATL
E.J. Horton,WR,IND
E.J. Williams,WR,LV
Efton Chism III,WR,NE
Eli Pancol,WR,IND
Elic Ayomanor,WR,TEN
Elijah Moore,WR,PHI
Elijah Sarratt,WR,BAL
Emeka Egbuka,WR,TB
Emmanuel Henderson,WR,SEA
Eric Rivers,WR,TB
Gabriel Benyard,WR,BUF
Gage Larvadain,WR,CLE
Garrett Greene,WR,TB
Garrett Wilson,WR,NYJ
Gee Scott Jr.,WR,NYJ
George Pickens,WR,DAL
Germie Bernard,WR,PIT
Greg Dortch,WR,DET
Gunner Olszewski,WR,NYG
Hank Beatty,WR,TEN
Harrison Wallace,WR,ARI
Ihmir Smith-Marsette,WR,ARI
Irvin Charles,WR,SEA
Isaac TeSlaa,WR,DET
Isaiah Bond,WR,CLE
Isaiah Hodgins,WR,NYG
Isaiah Neyor,WR,GB
Isaiah Williams,WR,NYJ
J.Michael Sturdivant,WR,GB
JP Richardson,WR,CHI
Ja'Kobi Lane,WR,BAL
Ja'Lynn Polk,WR,NO
Ja'Marr Chase,WR,CIN
Ja'Mori Maclin,WR,BUF
Ja'Seem Reed,WR,CAR
JaQuae Jackson,WR,LAC
Jack Bech,WR,LV
Jackson Meeks,WR,DET
Jacob Cowing,WR,SF
Jacob De Jesus,WR,KC
Jacoby Jones,WR,WAS
Jaden Bradley,WR,WAS
Jaden Smith,WR,DAL
Jahan Dotson,WR,ATL
Jahdae Walker,WR,CHI
Jake Bobo,WR,SEA
Jakobi Meyers,WR,JAX
Jakobie Keeney-James,WR,GB
Jalen Brooks,WR,ARI
Jalen Coker,WR,CAR
Jalen McMillan,WR,TB
Jalen Nailor,WR,LV
Jalen Reagor,WR,MIA
Jalen Royals,WR,KC
Jalen Tolbert,WR,MIA
Jalen Virgil,WR,BUF
Jalen Walthall,WR,NYJ
Jalin Hyatt,WR,NYG
Jamaal Pritchett,WR,NYJ
Jamari Thrash,WR,CLE
Jameson Williams,WR,DET
Jared Wayne,WR,HOU
Jason Brownlee,WR,KC
Jauan Jennings,WR,MIN
Jaxon Smith-Njigba,WR,SEA
Jayden Higgins,WR,HOU
Jayden Reed,WR,GB
Jaylen Waddle,WR,DEN
Jaylin Lane,WR,WAS
Jaylin Noel,WR,HOU
Jeff Caldwell,WR,KC
Jerand Bradley,WR,LAC
Jeremiah Webb,WR,NE
Jerry Jeudy,WR,CLE
Jeshaun Jones,WR,MIN
Jha'Quan Jackson,WR,HOU
Jimmy Holiday,WR,KC
Jimmy Horn Jr.,WR,CAR
Jimmy Kibble,WR,NE
John Metchie III,WR,CAR
Johnny Wilson,WR,PHI
Jonathan Brady,WR,LV
Jonathan Mingo,WR,DAL
Jordan Addison,WR,MIN
Jordan Hudson,WR,DAL
Jordan Moore,WR,CIN
Jordan Watkins,WR,SF
Jordan Whittington,WR,LA
Jordyn Tyson,WR,NO
Joseph Manjack,WR,DEN
Josh Cameron,WR,JAX
Josh Downs,WR,IND
Josh Kelly,WR,HOU
Josh Palmer,WR,BUF
JuJu Smith-Schuster,WR,NYG
Junior Bergen,WR,SF
Justin Jefferson,WR,MIN
Justin Shorter,WR,LV
Justin Watson,WR,HOU
K.C. Concepcion,WR,CLE
K.J. Osborn,WR,TEN
KaVontae Turpin,WR,DAL
Kaden Wetjen,WR,PIT
Kalif Raymond,WR,CHI
Kameron Johnson,WR,TB
Kayshon Boutte,WR,NE
Ke'Shawn Williams,WR,CIN
KeAndre Lambert-Smith,WR,LAC
Keelan Marion,WR,ATL
Kendric Pryor,WR,CIN
Kendrick Bourne,WR,ARI
Kendrick Law,WR,DET
Keon Coleman,WR,BUF
Kevin Austin Jr.,WR,NO
Kevin Coleman,WR,MIA
Khalil Shakir,WR,BUF
Kobe Prentice,WR,CAR
Kolbe Katsis,WR,DEN
Kole Wilson,WR,CLE
Konata Mumpfield,WR,LA
Kyle Dixon,WR,NE
Kyle Williams,WR,NE
Kyre Duplessis,WR,DET
Kyron Hudson,WR,CHI
LaJohntay Wester,WR,BAL
Ladd McConkey,WR,LAC
Lance McCutcheon,WR,TEN
Laquon Treadwell,WR,IND
Le'Meke Brockington,WR,ATL
Lewis Bond,WR,HOU
Lil'Jordan Humphrey,WR,DEN
Luke Floriea,WR,CLE
Luke Grimm,WR,LAC
Luke McCaffrey,WR,WAS
Luke Wysong,WR,MIN
Luther Burden III,WR,CHI
Mac Dalena,WR,BUF
Mack Hollins,WR,NE
Makai Lemon,WR,PHI
Malachi Corley,WR,CLE
Malachi Fields,WR,NYG
Malick Meiga,WR,CAR
Malik Benson,WR,LV
Malik Cunningham,WR,DET
Malik McClain,WR,NYJ
Malik Nabers,WR,NYG
Malik Turner,WR,SF
Malik Washington,WR,MIA
Mante Morrow,WR,LAC
Marcus Sanders,WR,MIN
Mario Williams,WR,LA
Marquez Valdes-Scantling,WR,DAL
Marquise Brown,WR,PHI
Marvin Harrison Jr.,WR,ARI
Marvin Mims Jr.,WR,DEN
Mason Kinsey,WR,TEN
Mason Tipton,WR,NO
Matthew Golden,WR,GB
Maurice Alexander,WR,CHI
Mecole Hardman,WR,BUF
Michael Bandy,WR,DEN
Michael Briscoe,WR,MIN
Michael Pittman,WR,PIT
Michael Wilson,WR,ARI
Michael Wortham,WR,JAX
Mike Evans,WR,SF
Mike Woods,WR,DEN
Mitchell Tinsley,WR,CIN
Montorie Foster Jr,WR,SEA
Myles Price,WR,MIN
Nick DeGennaro,WR,NE
Nick Nash,WR,WAS
Nick Westbrook-Ikhine,WR,IND
Nico Collins,WR,HOU
Nikko Remigio,WR,KC
Noah Thomas,WR,CIN
Octavian Smith,WR,BAL
Odell Beckham Jr.,WR,NYG
Olamide Zaccheaus,WR,ATL
Omar Cooper,WR,NYJ
Omari Evans,WR,KC
Omari Kelly,WR,CHI
Parker Washington,WR,JAX
Parris Campbell,WR,DAL
Pat Bryant,WR,DEN
Phillip Dorsett,WR,LV
Puka Nacua,WR,LA
Quentin Johnston,WR,LAC
Quentin Skinner,WR,NYJ
Quez Watkins,WR,PHI
Rashad Rochelle,WR,SEA
Rashee Rice,WR,KC
Rashid Shaheed,WR,SEA
Rashod Bateman,WR,BAL
Raylen Sharpe,WR,IND
Reggie Virgil,WR,ARI
Ricky Pearsall,WR,SF
Ricky White III,WR,SEA
Roman Wilson,WR,PIT
Rome Odunze,WR,CHI
Romello Brinson,WR,DAL
Romeo Doubs,WR,NE
Ronnie Bell,WR,NO
Ryan Flournoy,WR,DAL
Ryan Miller,WR,NYG
Sahmir Hagans,WR,IND
Samori Toure,WR,PHI
Savion Williams,WR,GB
Scott Miller,WR,CHI
Shedrick Jackson,WR,LV
Simi Fehoko,WR,ARI
Sincere Brown,WR,LAC
Skyler Bell,WR,BUF
Skyy Moore,WR,GB
Squirrel White,WR,CHI
Stephen Gosnell,WR,BUF
Tahj Washington,WR,MIA
Tai Felton,WR,MIN
Tank Dell,WR,HOU
Ted Hurst,WR,TB
Tee Higgins,WR,CIN
Tejhaun Palmer,WR,ARI
Terrace Marshall Jr.,WR,MIA
Terrill Davis,WR,MIN
Terry McLaurin,WR,WAS
Tetairoa McMillan,WR,CAR
Tez Johnson,WR,TB
Theo Wease Jr.,WR,MIA
Tim Jones,WR,JAX
Tim Patrick,WR,NYJ
Tom Kennedy,WR,DET
Tory Horton,WR,SEA
Traeshon Holden,WR,DAL
Travis Hunter,WR,JAX
Trayvon Rudolph,WR,MIN
Tre Harris,WR,LAC
Tre Tucker,WR,LV
Trebor Pena,WR,JAX
Trent Sherfield,WR,BUF
Trey Palmer,WR,NO
Treylon Burks,WR,WAS
Treyvhon Saunders,WR,HOU
Troy Franklin,WR,DEN
Tru Edwards,WR,LA
Tutu Atwell,WR,MIA
Ty Pezza,WR,BAL
Tylan Wallace,WR,CLE
Tyler Johnson,WR,DAL
Tyler Scott,WR,LA
Tyquan Thornton,WR,KC
Tyrell Shavers,WR,BUF
Tyren Montgomery,WR,TEN
Tyrone Broden,WR,SEA
Van Jefferson,WR,WAS
Vinny Anthony,WR,ATL
Wan'Dale Robinson,WR,TEN
Wesley Grimes,WR,SF
Will Pauling,WR,SF
Will Sheppard,WR,GB
Xavier Gipson,WR,NYG
Xavier Guillory,WR,BAL
Xavier Hutchinson,WR,HOU
