,Name,Team,BYE,Pos,ADP,FantasyPros,Sleeper ADP,SleepvFP,Landmine,Round,Pick
,George Kittle,SF,14,TE,31,19,39,1.05,4.9,,39
,Jalen Hurts,PHI,9,QB,34,36,40,0.11,5.6,,40
,Chuba Hubbard,CAR,14,RB,42,43,41,-0.05,6.1,,41
,Davante Adams,LAR,8,WR,45,35,42,0.20,5.8,,42
,Terry McLaurin,WAS,12,WR,41,41,43,0.05,5.8,,43
,Garrett Wilson,NYJ,9,WR,46,40,44,0.10,5.9,,44
,Marvin Harrison,ARI,8,WR,38,38,45,0.18,5.4,,45
,Mike Evans,TB,9,WR,35,29,46,0.59,4.9,,46
,James Conner,ARI,8,RB,44,46,47,0.02,5.8,,47
,D'Andre Swift,CHI,5,RB,60,58,48,-0.17,6.9,,48
,Courtland Sutton,DEN,12,WR,57,47,49,0.04,6.2,5,49
,RJ Harvey,DEN,12,RB,49,62,50,-0.19,6.4,,50
,DJ Moore,CHI,5,WR,61,51,51,0.00,6.4,,51
,DK Metcalf,PIT,5,WR,48,44,52,0.18,5.5,,52
,Tetairoa McMillan,CAR,14,WR,64,55,53,-0.04,6.5,,53
,Tony Pollard,TEN,10,RB,51,60,54,-0.10,6.1,,54
,Isiah Pacheco,KC,10,RB,56,63,55,-0.13,6.4,,55
,Patrick Mahomes,KC,10,QB,50,64,56,-0.13,6.1,,56
,Calvin Ridley,TEN,10,WR,67,53,57,0.08,6.2,,57
,DeVonta Smith,PHI,9,WR,58,56,58,0.04,5.9,,58
,Aaron Jones,MIN,6,RB,65,66,59,-0.11,6.5,,59
,Jameson Williams,DET,8,WR,59,49,60,0.22,5.5,,60
,David Montgomery,DET,8,RB,54,57,61,0.07,5.6,6,61
,Xavier Worthy,KC,10,WR,53,52,62,0.19,5.2,,62
,Travis Kelce,KC,10,TE,68,82,63,-0.23,7.0,,63
,George Pickens,DAL,10,WR,55,54,64,0.19,5.2,,64
,Sam LaPorta,DET,8,TE,52,61,65,0.07,5.3,,65
,Rashee Rice,KC,10,WR,92,77,66,-0.14,7.5,,66
,Jerry Jeudy,CLE,9,WR,81,81,67,-0.17,7.1,,67
,Tyrone Tracy,NYG,14,RB,73,72,68,-0.06,6.4,,68
,Zay Flowers,BAL,7,WR,62,59,69,0.17,5.3,,69
,Baker Mayfield,TB,9,QB,74,67,70,0.04,6.0,,70
,Ricky Pearsall,SF,14,WR,76,74,71,-0.04,6.3,,71
,Emeka Egbuka,TB,9,WR,77,84,72,-0.14,6.7,,72
,Bo Nix,DEN,12,QB,69,69,73,0.06,5.7,7,73
,Jaylen Warren,PIT,5,RB,80,83,74,-0.11,6.6,,74
,Travis Hunter,JAC,8,WR,71,73,75,0.03,5.8,,75
,T.J. Hockenson,MIN,6,TE,66,71,76,0.07,5.4,,76
,Jaylen Waddle,MIA,12,WR,63,65,77,0.18,5.0,,77
,Kaleb Johnson,PIT,5,RB,72,70,78,0.11,5.4,,78
,Jordan Mason,MIN,6,RB,78,80,79,-0.01,6.0,,79
,Chris Olave,NO,11,WR,79,78,80,0.03,5.9,,80
,Rome Odunze,CHI,5,WR,75,75,81,0.08,5.5,,81
,Jacory Croskey-Merritt,WAS,12,RB,97,101,82,-0.19,7.4,,82
,Deebo Samuel,WAS,12,WR,82,85,83,-0.02,6.0,,83
,Zach Charbonnet,SEA,8,RB,96,92,84,-0.09,6.8,,84
,Matthew Golden,GB,5,WR,85,98,85,-0.13,6.5,8,85
,Stefon Diggs,NE,14,WR,88,99,86,-0.13,6.6,,86
,Cooper Kupp,SEA,8,WR,103,119,87,-0.27,7.9,,87
,Travis Etienne,JAC,8,RB,93,90,88,-0.02,6.3,,88
,Evan Engram,DEN,12,TE,91,105,89,-0.15,6.7,,89
,J.K. Dobbins,DEN,12,RB,94,107,90,-0.16,6.8,,90
,Dak Prescott,DAL,10,QB,86,79,91,0.15,5.3,,91
,Mark Andrews,BAL,7,TE,70,68,92,0.35,4.2,,92
,Joe Mixon,HOU,6,RB,111,133,93,-0.30,8.3,,93
,Tyler Warren,IND,11,TE,95,96,94,-0.02,6.1,,94
,Javonte Williams,DAL,10,RB,104,103,95,-0.08,6.7,,95
,Jakobi Meyers,LV,8,WR,87,104,96,-0.08,6.0,,96
,Jordan Addison,MIN,6,WR,98,86,97,0.13,5.6,9,97
,Kyler Murray,ARI,8,QB,89,76,98,0.29,4.8,,98
,Caleb Williams,CHI,5,QB,122,100,99,-0.01,7.0,,99
,Austin Ekeler,WAS,12,RB,121,124,100,-0.19,7.8,,100
,Jauan Jennings,SF,14,WR,102,95,101,0.06,5.8,,101
,David Njoku,CLE,9,TE,90,87,102,0.17,4.9,,102
,Khalil Shakir,BUF,7,WR,114,110,103,-0.06,6.7,,103
,Tank Bigsby,JAC,8,RB,99,97,104,0.07,5.5,,104
,Cam Skattebo,NYG,14,RB,107,114,105,-0.08,6.4,,105
,Jared Goff,DET,8,QB,110,106,106,0.00,6.2,,106
,Chris Godwin,TB,9,WR,118,118,107,-0.09,6.9,,107
,Tucker Kraft,GB,5,TE,84,93,108,0.16,4.4,,108
,Michael Pittman,IND,11,WR,113,125,109,-0.13,6.8,10,109
,Colston Loveland,CHI,5,TE,128,131,110,-0.16,7.6,,110
,Braelon Allen,NYJ,9,RB,100,126,111,-0.12,6.2,,111
,Brock Purdy,SF,14,QB,83,88,112,0.27,3.9,,112
,Rhamondre Stevenson,NE,14,RB,106,108,113,0.05,5.5,,113
,Nick Chubb,HOU,6,RB,120,136,114,-0.16,7.1,,114
,Justin Fields,NYJ,9,QB,115,89,115,0.29,5.0,,115
,Jaydon Blue,DAL,10,RB,143,145,116,-0.20,8.2,,116
,Jayden Reed,GB,5,WR,108,91,117,0.29,4.6,,117
,Keon Coleman,BUF,7,WR,117,112,118,0.05,5.7,,118
,Quinshon Judkins,CLE,9,RB,132,129,119,-0.08,6.9,,119
,Brian Robinson,SF,14,RB,116,130,120,-0.08,6.2,,120
,Justin Herbert,LAC,12,QB,112,94,121,0.29,4.6,11,121
,Jerome Ford,CLE,9,RB,144,149,122,-0.18,8.0,,122
,Josh Downs,IND,11,WR,124,116,123,0.06,5.8,,123
,Drake Maye,NE,14,QB,119,102,124,0.22,4.9,,124
,Trey Benson,ARI,8,RB,146,128,125,-0.02,7.0,,125
,Najee Harris,LAC,12,RB,135,121,126,0.04,6.2,,126
,Jake Ferguson,DAL,10,TE,125,140,127,-0.09,6.4,,127
,Rachaad White,TB,9,RB,147,135,128,-0.05,7.0,,128
,Tyjae Spears,TEN,10,RB,164,142,129,-0.09,7.9,,129
,Bhayshul Tuten,JAC,8,RB,127,148,130,-0.12,6.6,,130
,Marvin Mims,DEN,12,WR,152,143,131,-0.08,7.3,,131
,Keenan Allen,LAC,12,WR,150,162,132,-0.19,7.9,,132
,Jayden Higgins,HOU,6,WR,153,154,133,-0.14,7.6,12,133
,Trevor Lawrence,JAC,8,QB,155,111,134,0.21,5.9,,134
,J.J. McCarthy,MIN,6,QB,142,115,135,0.17,5.5,,135
,C.J. Stroud,HOU,6,QB,138,113,137,0.21,5.1,,136
,Darnell Mooney,ATL,5,WR,140,123,138,0.12,5.5,,137
,Ollie Gordon,MIA,12,RB,165,178,139,-0.22,8.6,,138
,Dalton Kincaid,BUF,7,TE,130,122,140,0.15,4.9,,139
,Kyle Pitts,ATL,5,TE,136,120,142,0.18,4.9,,140
,Dylan Sampson,CLE,9,RB,139,150,143,-0.05,6.1,,141
,Ray Davis,BUF,7,RB,148,132,144,0.09,5.7,,142
,Jordan Love,GB,5,QB,131,109,145,0.33,4.0,,143
,Brandon Aiyuk,SF,14,WR,145,134,146,0.09,5.5,,144
,Tua Tagovailoa,MIA,12,QB,190,137,147,0.07,7.3,13,145
,Rico Dowdle,CAR,14,RB,179,161,148,-0.08,7.8,,146
,Rashid Shaheed,NO,11,WR,129,127,149,0.17,4.3,,147
,Kyle Monangai,CHI,5,RB,255,190,150,-0.21,10.0,,148
,Tyler Allgeier,ATL,5,RB,157,138,151,0.09,5.7,,149
,Luther Burden,CHI,5,WR,167,151,152,0.01,6.6,,150
,Christian Kirk,HOU,6,WR,156,141,153,0.09,5.6,,151
,Jonnu Smith,PIT,5,TE,169,156,154,-0.01,6.7,,152
,Hunter Henry,NE,14,TE,162,147,155,0.05,6.0,,153
,Dallas Goedert,PHI,9,TE,133,117,156,0.33,3.5,,154
,Bryce Young,CAR,14,QB,187,144,158,0.10,6.6,,155
,Geno Smith,LV,8,QB,192,155,159,0.03,7.2,,156
,Zach Ertz,WAS,12,TE,159,157,160,0.02,5.8,14,157
,DeAndre Hopkins,BAL,7,WR,215,179,161,-0.10,8.9,,158
,Michael Penix,ATL,5,QB,173,146,162,0.11,5.8,,159
,Marquise Brown,KC,10,WR,183,160,163,0.02,6.7,,160
,Brenton Strange,JAC,8,TE,199,177,165,-0.07,7.8,,161
,Kareem Hunt,KC,10,RB,182,195,166,-0.15,7.8,,162
,Sam Darnold,SEA,8,QB,207,171,168,-0.02,7.7,,163
,Tre' Harris,LAC,12,WR,191,164,169,0.03,6.7,,164
,Cam Ward,TEN,10,QB,180,170,171,0.01,6.3,,165
,Cedric Tillman,CLE,9,WR,174,152,172,0.13,5.3,,166
,Chris Rodriguez,WAS,12,RB,226,188,173,-0.08,8.7,,167
,Aaron Rodgers,PIT,5,QB,236,194,174,-0.10,9.3,,168
,Matthew Stafford,LAR,8,QB,194,153,175,0.14,5.9,15,169
,Cade Otton,TB,9,TE,260,180,177,-0.02,9.4,,170
,Dont'e Thornton,LV,8,WR,204,225,178,-0.21,8.9,,171
,Woody Marks,HOU,6,RB,203,184,179,-0.03,7.2,,172
,Chig Okonkwo,TEN,10,TE,185,182,180,-0.01,6.3,,173
,Jaylen Wright,MIA,12,RB,213,167,181,0.08,6.7,,174
,Wan'Dale Robinson,NYG,14,WR,196,172,182,0.06,6.2,,175
,DeMario Douglas,NE,14,WR,184,168,184,0.10,5.4,,176
,Xavier Legette,CAR,14,WR,197,175,185,0.06,6.1,,177
,Justice Hill,BAL,7,RB,282,204,186,-0.09,10.0,,178
,Russell Wilson,NYG,14,QB,276,222,189,-0.15,10.0,,179
,Will Shipley,PHI,9,RB,198,185,190,0.03,6.1,,180
,Isaac Guerendo,SF,14,RB,181,163,191,0.17,4.5,16,181
,Joshua Palmer,BUF,7,WR,171,166,194,0.17,4.0,,182
,Rashod Bateman,BAL,7,WR,151,139,195,0.40,2.0,,183
,Mason Taylor,NYJ,9,TE,258,198,196,-0.01,8.6,,184
,Daniel Jones,IND,11,QB,268,214,197,-0.08,9.5,,185
,Kyle Williams,NE,14,WR,186,169,198,0.17,4.4,,186
,Keaton Mitchell,BAL,7,RB,274,197,199,0.01,8.9,,187
,Romeo Doubs,GB,5,WR,195,158,200,0.27,4.1,,188
,DJ Giddens,IND,11,RB,256,191,205,0.07,7.5,,189
,Jack Bech,LV,8,WR,234,200,206,0.03,6.9,,190
,Adam Thielen,MIN,6,WR,177,165,207,0.25,3.1,,191
,Isaiah Likely,BAL,7,TE,201,159,208,0.31,3.8,,192
,Jarquez Hunter,LAR,8,RB,280,213,210,-0.01,8.9,17,193
,Tahj Brooks,CIN,10,RB,284,210,212,0.01,8.8,,194
,Kendre Miller,NO,11,RB,271,186,217,0.17,6.9,,195
,Dalton Schultz,HOU,6,TE,251,203,218,0.07,6.7,,196
,Alec Pierce,IND,11,WR,254,183,220,0.20,5.9,,197
,Roschon Johnson,CHI,5,RB,223,174,222,0.28,4.1,,198
,Elijah Arroyo,SEA,8,TE,218,215,223,0.04,5.5,,199
,Pat Bryant,DEN,12,WR,250,201,226,0.12,6.0,,200
,Brashard Smith,KC,10,RB,279,223,230,0.03,7.7,,201
,Blake Corum,LAR,8,RB,206,176,232,0.32,2.7,,202
,Ja'Tavion Sanders,CAR,14,TE,263,218,236,0.08,6.4,,203
,Pat Freiermuth,PIT,5,TE,224,189,239,0.26,3.4,,204
,Mike Gesicki,CIN,10,TE,230,187,242,0.29,3.3,18,205
,Dameon Pierce,HOU,6,RB,233,209,243,0.16,4.2,,206
,Miles Sanders,DAL,10,RB,266,211,248,0.18,5.2,,207
,Sean Tucker,TB,9,RB,278,220,252,0.15,5.8,,208
,Quentin Johnston,LAC,12,WR,248,173,253,0.46,2.6,,209
,Juwan Johnson,NO,11,TE,236,217,254,0.17,3.8,,210
,Darius Slayton,NYG,14,WR,283,196,257,0.31,4.6,,211
,Jaylin Noel,HOU,6,WR,281,208,260,0.25,4.8,,212
,Jalen McMillan,TB,9,WR,273,205,268,0.31,3.7,,213
,Andrei Iosivas,CIN,10,WR,235,202,276,0.37,1.4,,214
,Elic Ayomanor,TEN,10,WR,232,206,277,0.34,1.4,,215
,Dyami Brown,JAC,8,WR,247,221,279,0.26,2.4,,216
,MarShawn Lloyd,GB,5,RB,252,192,280,0.46,1.4,,217
,Jalen Coker,CAR,14,WR,227,181,281,0.55,0.0,,218
,Calvin Austin,PIT,5,WR,253,207,283,0.37,1.8,,219
,Michael Wilson,ARI,8,WR,221,193,287,0.49,0.0,,220
,Tyler Lockett,TEN,10,WR,267,216,289,0.34,2.2,,221
,Adonai Mitchell,IND,11,WR,245,199,291,0.46,0.5,,222
,Jalen Royals,KC,10,WR,241,224,293,0.31,1.2,,223
,Devin Neal,NO,11,RB,237,219,296,0.35,0.6,,224
